Recipe_name,Cuisine_type,Diet_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,estimated_weigth(g)
"Linguine with avocado, tomato & lime",italian,vegan,24.41,137.68,32.28,2022-10-16,20:09:30,194.37
Linguini with Coriander Pesto and Chilli Calamari,italian,mediterranean,51.98,75.46,20.73,2022-10-16,16:48:51,148.17
Liquid Autumn,world,dash,0.61,11.66,0.17,2022-10-16,20:30:37,12.44
Liquid Fireworks,world,dash,0.59,6.78,0.17,2022-10-16,20:30:43,7.54
Lisa's Delicious 3-Bean Chili,american,vegan,117.41,384.6,19.06,2022-10-16,20:12:12,521.07
Lithuanian Summer Borscht,south east asian,dash,42.28,128.69,25.92,2022-10-16,20:32:24,196.89
Little Black Dress,british,dash,14.88,128.37,58.96,2022-10-16,20:31:17,202.21
Little Neck Clams with Sungold Tomatoes,south american,dash,79.37,169.99,58.91,2022-10-16,20:36:25,308.27
Loaded Baked Potatoes with Broccoli & Cheese,italian,dash,54.83,144.76,108.95,2022-10-16,20:35:59,308.54
"Loaded Cauliflower (low carb, keto) recipes",british,keto,49.5,30.1,109.97,2022-10-16,18:05:40,189.57
Loaded Keto Potato Dip (Low Carb Friendly),british,keto,12.8,10.69,82.27,2022-10-16,18:07:10,105.76
Loaded Keto Zucchini Skins,british,keto,37.25,24.91,98.63,2022-10-16,18:02:04,160.79
Loaded Mediterranean Chicken-Quinoa Salad,south american,mediterranean,43.45,38.05,30.13,2022-10-16,16:45:24,111.63
Loaded Nachos,mexican,dash,145.11,165.79,212.25,2022-10-16,20:40:10,523.15
Loaded Organic Baked Potato with Broccoli and Cheese,italian,dash,59.69,179.9,109.31,2022-10-16,20:36:46,348.9
Loaded Organic Baked Potato with Broccoli and Cheese,italian,vegan,59.69,179.9,109.31,2022-10-16,20:06:52,348.9
Loaded Paleo Cauliflower Nachos recipes,mexican,paleo,52.93,75.7,131.7,2022-10-16,17:21:44,260.33
Lobster With Thermidor Butter,american,dash,70.84,21.45,128.56,2022-10-16,20:34:31,220.85
Loco Coco (paleo),american,paleo,32.1,84.86,183.44,2022-10-16,17:27:05,300.4
Loco Moco,mexican,dash,163.31,80.29,346.56,2022-10-16,20:37:26,590.16
"Look Ma No Dairy! - Creamy Parnsnip Soup with Granny Smith Apples (Vegan, Gluten Free)",american,vegan,125.36,322.67,170.22,2022-10-16,20:09:03,618.25
Lorraine's Grilled Pork Chops,french,mediterranean,184.63,23.21,102.71,2022-10-16,16:51:05,310.55
Lots O'Laksa (Malaysian-Style Chicken Soup),south east asian,vegan,153.7,174.14,182.31,2022-10-16,20:11:11,510.15
Louis Dressing,american,dash,3.03,21.45,182.6,2022-10-16,20:30:30,207.08
Louisiana Crab Cakes,french,dash,44.18,47.47,26.8,2022-10-16,20:34:11,118.45
Loup De Mer (Mediterranean Seabass),mediterranean,mediterranean,306.68,45.78,26.54,2022-10-16,16:43:14,379.0
Loup de Mer (Mediterranean Seabass),mediterranean,mediterranean,306.14,43.1,26.55,2022-10-16,16:43:14,375.79
Love In Jalisco,world,dash,0.05,5.45,0.05,2022-10-16,20:29:27,5.55
"Low Carb ""Breading""",american,keto,57.11,6.27,40.34,2022-10-16,18:09:05,103.72
Low Carb & Keto-friendly Baked Onion Rings,american,keto,55.31,46.35,45.23,2022-10-16,18:06:47,146.89
Low Carb Baked Beans with Beef,american,keto,183.68,114.11,166.31,2022-10-16,18:01:10,464.1
"Low Carb Beef and Cheddar Cauliflower Bake, THM S meal, Keto too",british,keto,710.81,112.56,1154.61,2022-10-16,18:08:58,1977.98
Low Carb Biscuits Recipe (Keto Friendly),british,keto,65.22,42.11,180.0,2022-10-16,18:05:46,287.33
"Low Carb Blueberry Cheesecake Ice Cream (Keto, Sugar Free, Gluten Free)",american,keto,20.32,21.36,115.31,2022-10-16,18:08:58,156.99
Low Carb Broiled Asian Chicken Thighs recipes,chinese,paleo,149.89,13.87,49.44,2022-10-16,17:27:38,213.2
Low Carb Bulgogi Ground Beef Bowl recipes,british,paleo,146.61,79.92,50.85,2022-10-16,17:24:20,277.38
Low Carb Cauliflower Potato Salad,american,paleo,34.18,36.49,119.11,2022-10-16,17:25:33,189.78
Low Carb Cauliflower Potato Salad recipes,american,paleo,26.18,74.5,62.8,2022-10-16,17:25:27,163.48
Low Carb Chicken and Broccoli (Keto-Friendly),british,keto,86.82,112.26,153.23,2022-10-16,18:06:27,352.31
"Low Carb Chicken and Cheese Quesadillas {Gluten-free, Keto-friendly} recipes",mexican,keto,105.69,24.26,73.94,2022-10-16,18:08:51,203.89
"Low Carb Chocolate Peanut Butter Cups {Gluten Free, Keto-Friendly} recipes",american,keto,25.59,44.3,268.92,2022-10-16,18:08:51,338.81
"Low Carb Crispy Walnut Shrimp - Gluten-Free, Keto, LCHF recipes",american,keto,100.18,10.03,103.53,2022-10-16,18:08:44,213.74
Low Carb Fried Ice Cream,italian,paleo,22.62,127.17,104.56,2022-10-16,17:24:13,254.35
"Low Carb Hamburger Soup Recipe (Whole30, Keto, Paleo)",american,keto,173.6,73.82,208.8,2022-10-16,18:08:10,456.22
"Low Carb Keto ""Cornbread"" recipes",american,keto,39.46,26.2,99.89,2022-10-16,18:03:11,165.55
Low Carb Keto Asiago Alfredo Brussels Sprouts,italian,keto,95.67,97.25,191.06,2022-10-16,18:07:03,383.98
Low Carb Keto Biscuits,british,keto,66.98,42.21,181.33,2022-10-16,18:01:51,290.52
Low Carb Keto Cheese Crisps Recipe,american,keto,80.1,7.19,68.05,2022-10-16,18:04:39,155.34
Low Carb Keto Chicken Parmesan Recipe,italian,keto,306.99,25.95,216.65,2022-10-16,18:06:13,549.59
Low Carb Keto Coconut Cauliflower Rice,british,keto,17.45,42.51,77.14,2022-10-16,18:05:26,137.1
Low Carb Keto Green Bean Casserole,french,keto,47.32,67.02,110.74,2022-10-16,18:06:07,225.08
Low Carb Keto Hamburger Buns,american,keto,49.44,135.19,60.36,2022-10-16,18:04:19,244.99
Low Carb Keto Mexican Pizza #ketolicious,italian,keto,104.0,144.34,186.68,2022-10-16,18:05:46,435.02
Low Carb Keto Sausage Balls Recipe With Cream Cheese,american,keto,197.31,65.09,391.43,2022-10-16,18:08:17,653.83
Low Carb Keto Soy Wrapped Spicy Salmon Sushi Roll,nordic,keto,88.9,8.65,91.63,2022-10-16,18:08:24,189.18
Low Carb Keto Tasty Buns,british,keto,37.74,12.79,65.04,2022-10-16,18:03:11,115.57
Low Carb Lasagna Meatballs Recipe,italian,keto,308.21,32.78,328.73,2022-10-16,18:02:38,669.72
Low Carb Lemon Bar Recipe - Keto & Glu,american,keto,52.28,59.98,273.09,2022-10-16,18:07:03,385.35
Low Carb Meatballs alla Parmigiana,italian,keto,184.22,36.65,205.05,2022-10-16,18:00:16,425.92
"Low Carb Mexican Pizza - Keto, Gluten Free recipes",italian,keto,138.46,38.44,208.23,2022-10-16,18:08:24,385.13
"Low Carb Nut Free English Muffins (Grain Free, Gluten Free)",british,paleo,33.89,22.3,121.33,2022-10-16,17:25:33,177.52
"Low Carb Onion Rings - Gluten-Free, Keto recipes",american,keto,115.23,51.5,183.16,2022-10-16,18:08:04,349.89
Low Carb Paleo Biscuits,american,paleo,61.56,45.53,181.46,2022-10-16,17:30:48,288.55
Low Carb Paleo Egg Wrap Recipe,american,paleo,16.71,28.5,15.85,2022-10-16,17:21:38,61.06
Low Carb Pasta a la Carbonara recipes,italian,keto,49.4,14.58,88.64,2022-10-16,17:58:49,152.62
Low Carb Pepperoni Pizza Meatballs (Gluten,italian,keto,146.41,34.31,207.44,2022-10-16,17:58:49,388.16
Low Carb Praline Pumpkin Pie,american,dash,43.14,93.16,275.08,2022-10-16,20:39:03,411.38
"Low Carb Pumpkin French Toast Bake (Keto, Grain Free, Sugar Free)",french,keto,60.86,237.65,154.36,2022-10-16,17:58:43,452.87
"Low Carb Red Cabbage, Mint, and Granny Smi",american,paleo,9.8,75.41,56.01,2022-10-16,17:26:07,141.22
"Low Carb Salmon Cakes (Keto, Grain Free)",nordic,keto,656.95,13.25,501.19,2022-10-16,18:07:37,1171.39
Low Carb Snickerdoodles - Keto & Glute,british,keto,51.2,47.26,204.0,2022-10-16,18:03:52,302.46
Low Carb Sugar Free Keto Blueberry Muffins,american,keto,92.13,110.8,264.5,2022-10-16,18:07:16,467.43
"Low Carb Taco Soup for the Instant Pot or Slow Cooker, Keto, THM too",french,keto,581.42,102.78,677.8,2022-10-16,18:08:58,1362.0
"Low Carb Vegan Ranch Dressing (dairy free, soy-free, keto) recipes",american,keto,37.85,41.23,80.91,2022-10-16,18:08:51,159.99
Low Carb and Keto Chicken Alfredo Pasta Re,italian,keto,141.3,117.92,276.21,2022-10-16,18:07:44,535.43
Low Carb/Keto pizza crust,italian,keto,65.2,23.02,108.07,2022-10-16,18:02:45,196.29
Low carb and Keto Chocolate Candy Kisses (Baci) recipes,american,keto,16.84,37.21,139.49,2022-10-16,18:08:17,193.54
"Low carb, keto friendly buffalo chicken meatballs",american,keto,115.64,9.41,95.36,2022-10-16,17:58:49,220.41
"Low-Carb Almond Coconut Sandies (Keto, Gluten-Free)",american,keto,33.79,44.65,183.53,2022-10-16,18:07:23,261.97
Low-Carb Broccoli Cheese Quiche,french,keto,70.98,140.69,143.36,2022-10-16,18:03:25,355.03
Low-Carb Chocolate Hazelnut Spread aka Keto Nutella recipes,american,keto,67.45,177.68,352.47,2022-10-16,18:08:44,597.6
Low-Carb Cloud Bread,american,keto,21.42,4.95,29.16,2022-10-16,17:58:03,55.53
Low-Carb Keto Chicken “Noodle” Soup recipes,asian,keto,171.31,285.58,77.14,2022-10-16,18:07:30,534.03
Low-Carb Keto Lasagna,italian,keto,284.21,119.23,401.06,2022-10-16,18:02:45,804.5
Low-Carb Keto Moscow Mule,world,keto,0.25,36.46,0.06,2022-10-16,18:02:51,36.77
Low-Carb Keto Salmon Curry Recipe,nordic,keto,119.66,57.89,242.72,2022-10-16,18:05:20,420.27
Low-Carb Portobello Mushroom Fajitas,mexican,vegan,41.49,111.46,148.41,2022-10-16,20:12:19,301.36
Low-Carb Roasted Pumpkin Spice Pecans,american,keto,18.5,33.1,170.41,2022-10-16,17:58:56,222.01
"Low-Carb, Keto Cheeseburger Stuffed Peppers Recipe",american,keto,106.98,76.95,106.47,2022-10-16,18:07:16,290.4
"Low-Carb, Keto Tarts With Berries And Mascarpone Cream",american,keto,69.25,93.92,271.34,2022-10-16,18:08:10,434.51
Low-Fat Warm Eggnog,british,dash,31.97,105.23,14.15,2022-10-16,20:34:18,151.35
Low-carb keto pizza dough,italian,keto,50.46,15.03,72.79,2022-10-16,18:03:32,138.28
Low-carb keto-friendly pizza,italian,keto,68.94,22.73,85.55,2022-10-16,18:02:58,177.22
Low-key Iridofu Or Scrambled Tofu With Vegetables recipes,asian,vegan,74.74,32.31,40.2,2022-10-16,20:04:24,147.25
Low/Carb - Keto Friendly Cauliflower Crust Pizza,italian,keto,219.29,29.05,302.26,2022-10-16,18:07:16,550.6
Luis Buñuel Dry Martini,world,dash,0.01,0.39,0.0,2022-10-16,20:40:37,0.4
Lump Crab Cakes from Bowens Island,american,dash,94.81,57.85,131.8,2022-10-16,20:34:45,284.46
Luxury hummus,mediterranean,vegan,148.12,462.54,174.66,2022-10-16,20:09:43,785.32
Lychee Martini,world,dash,0.11,15.44,0.13,2022-10-16,20:30:56,15.68
L’Artusi’s Famous Mushroom Ragu With Fresh Garganelli,italian,dash,162.0,550.0,254.34,2022-10-16,20:39:43,966.34
MARINATED ZUCCHINI & TOMATO LASAGNA with CASHEW HERB CHEESE recipes,italian,dash,35.64,80.72,78.88,2022-10-16,20:35:12,195.24
MEDITERRANEAN BARLEY SALAD,mediterranean,mediterranean,7.58,44.38,17.9,2022-10-16,16:51:05,69.86
MEDITERRANEAN CORN SALAD,mediterranean,mediterranean,136.26,391.03,123.88,2022-10-16,16:43:41,651.17
MEDITERRANEAN NOODLES,asian,mediterranean,145.88,322.04,150.4,2022-10-16,16:50:05,618.32
MEDITERRANEAN PASTA SALAD,mediterranean,mediterranean,44.48,220.77,62.48,2022-10-16,16:52:32,327.73
MEDITERRANEAN SUMMER PASTA,mediterranean,mediterranean,24.86,143.12,30.54,2022-10-16,16:53:06,198.52
Macadamia Crusted Mahi Mahi,mediterranean,keto,80.72,9.01,59.89,2022-10-16,18:09:12,149.62
Macadamia Fat Bread,french,keto,53.77,79.92,266.07,2022-10-16,18:09:18,399.76
Macaroni and Cheese,american,dash,132.92,224.58,224.77,2022-10-16,20:34:11,582.27
Macaroni and Cheese,italian,dash,223.44,468.96,277.66,2022-10-16,20:29:53,970.06
Macaroni and Cheese Waffles Recipe,italian,dash,204.41,419.87,229.87,2022-10-16,20:35:32,854.15
Mackerel Stuffed with Lime and Herbs,american,mediterranean,305.28,32.01,297.48,2022-10-16,16:50:32,634.77
Mad Creations Keto Creamy Cauliflower Dauphinoise,mediterranean,keto,52.59,41.65,251.4,2022-10-16,18:05:13,345.64
Mad Creations Keto Greek Garlic Lemon Marinade,mediterranean,keto,2.66,19.09,109.09,2022-10-16,18:07:23,130.84
Madras Chicken Salad recipes,mediterranean,paleo,150.18,41.36,123.75,2022-10-16,17:21:04,315.29
Magic Low-Carb Keto Gnocchi,italian,keto,56.2,7.18,60.85,2022-10-16,18:02:58,124.23
Magic Wings recipes,american,paleo,320.76,28.36,252.82,2022-10-16,17:20:16,601.94
"Mahimahi with Onion, Capers, and Lemon",mediterranean,mediterranean,129.0,19.34,80.39,2022-10-16,16:46:31,228.73
Mai Tai,world,dash,0.49,16.72,0.14,2022-10-16,20:35:18,17.35
Maialino's Olive Oil Cake (Adapted by Becca Fox),american,paleo,72.45,479.49,468.3,2022-10-16,17:21:31,1020.24
Mak Kimchi,south east asian,vegan,16.34,36.04,1.92,2022-10-16,20:07:39,54.3
Make-Ahead Zucchini and Quinoa Dill Bisque Recipe,french,vegan,36.29,102.42,28.8,2022-10-16,20:11:45,167.51
Make-Your-Own-Salad,american,dash,141.98,123.18,323.5,2022-10-16,20:40:37,588.66
Making Low Carb Keto Ice Cream For The First Time recipes,american,keto,14.34,22.86,120.23,2022-10-16,18:08:31,157.43
Mama Jean's Chicken Noodle Soup,asian,dash,195.69,234.27,75.4,2022-10-16,20:33:31,505.36
Mama Mia!,italian,dash,96.96,271.73,87.05,2022-10-16,20:35:38,455.74
Man About Town,french,dash,0.02,0.77,0.0,2022-10-16,20:39:36,0.79
Mango Banana Vanilla Cream Pops,american,paleo,11.09,71.03,97.12,2022-10-16,17:26:21,179.24
Mango Popsicles,american,keto,27.85,88.59,53.01,2022-10-16,17:58:49,169.45
Mango Rice with Mustard,indian,vegan,18.61,178.66,51.56,2022-10-16,20:07:12,248.83
Mango Salsa (Paleo),mexican,paleo,13.16,144.64,32.84,2022-10-16,17:26:27,190.64
Mango Turkey Sloppy Joe Salad Bowls {Paleo} recipes,american,paleo,106.07,148.46,94.71,2022-10-16,17:23:33,349.24
Mango and Quinoa Chopped Salad with Ancho-Mango Dressing,south american,dash,75.39,362.92,18.19,2022-10-16,20:40:37,456.5
Mango-Raspberry Vegan Shake recipes,american,vegan,4.2,164.16,14.87,2022-10-16,20:05:58,183.23
Manhattan,world,dash,0.03,2.95,0.01,2022-10-16,20:40:37,2.99
Manhattan Cocktail Recipe,world,dash,0.02,0.83,0.0,2022-10-16,20:40:17,0.85
Manhattan Ice Cream Float,american,dash,26.99,198.89,146.97,2022-10-16,20:33:58,372.85
Manhattan Jelly Shots,american,dash,12.2,77.48,0.01,2022-10-16,20:31:38,89.69
Maple Bourbon Old-Fashioned,world,dash,0.05,11.45,0.02,2022-10-16,20:30:37,11.52
Maple Cinnamon Mashed Sweet Potatoes recipes,american,vegan,41.97,402.47,162.37,2022-10-16,20:09:09,606.81
Maple Frosted Almond Butter Blondies recipes,american,paleo,70.14,355.31,243.28,2022-10-16,17:24:20,668.73
Maple Frosted Pumpkin Cake Recipe,american,vegan,66.83,938.29,252.26,2022-10-16,20:05:24,1257.38
Maple Hasselback Butternut Squash Recipe,american,vegan,10.25,146.75,18.23,2022-10-16,20:11:58,175.23
Maple Leaf Sazerac From Minetta Tavern,world,dash,0.02,17.27,0.02,2022-10-16,20:39:36,17.31
Maple Manhattan,american,dash,0.03,9.6,0.01,2022-10-16,20:31:31,9.64
Maple Old-Fashioned,american,dash,0.0,4.46,0.0,2022-10-16,20:30:37,4.46
Maple Walnut Banana Bread,american,vegan,19.51,192.39,49.08,2022-10-16,20:10:24,260.98
Maple Water Golden Milk,american,dash,0.41,4.7,27.34,2022-10-16,20:34:52,32.45
Maple-Gingerbread Pots de Crème,american,dash,34.51,152.25,85.14,2022-10-16,20:29:33,271.9
Maple-Glazed Sweet Potatoes (Japanese Daigaku Imo Style) w/Vegan option,american,vegan,9.74,183.18,83.83,2022-10-16,20:08:47,276.75
Marcie's Aioli Recipe,american,dash,8.77,25.98,129.22,2022-10-16,20:35:25,163.97
Marinated Chickpeas,mediterranean,mediterranean,65.86,202.86,47.13,2022-10-16,16:47:11,315.85
Marinated Flank Steak with Blue Cheese Sauce,american,dash,131.23,25.4,83.55,2022-10-16,20:36:39,240.18
Marinated Kale and Chickpea Salad With Sumac Onions Recipe,american,vegan,50.3,135.85,33.68,2022-10-16,20:09:50,219.83
Marinated Mediterranean Chicken Pita & Slaw Recipe,mediterranean,mediterranean,183.83,243.83,101.02,2022-10-16,16:45:44,528.68
Marinated Mediterranean Olives,mediterranean,mediterranean,4.76,34.08,50.12,2022-10-16,16:43:14,88.96
Marinated Mediterranean Steaks,mediterranean,mediterranean,256.56,39.21,180.125,2022-10-16,16:50:59,475.9
"Marinated Mushrooms Recipe – {Vegan, Keto, Paleo, Gluten-Free}",american,keto,25.12,77.07,436.57,2022-10-16,18:08:10,538.76
Marinated Olives,mediterranean,mediterranean,9.33,66.12,151.73,2022-10-16,16:48:51,227.18
"Marinated Olives with Lemon, Thyme & Rosemary",mediterranean,mediterranean,7.05,50.56,113.5,2022-10-16,16:47:11,171.11
Marinated Portobello Stuffed Whole Chicken with Roasted Sweet Potatoes and Red Onion,american,dash,187.41,123.19,389.06,2022-10-16,20:40:24,699.66
Marinated Shrimp With Mediterranean Salad,mediterranean,mediterranean,186.72,110.23,84.7,2022-10-16,16:45:10,381.65
"Marinated zucchini noodles with tomato basil sauce, dried baby tomatoes + garlic portobello meatless balls",asian,dash,13.92,85.7,19.91,2022-10-16,20:40:17,119.53
Marissa Hermer’s Apple Pie,british,dash,34.18,397.77,194.93,2022-10-16,20:33:11,626.88
Mark Bittman's Grilled Mediterranean Chicken Thighs Recipe,mediterranean,mediterranean,257.37,20.68,280.46,2022-10-16,16:45:57,558.51
Marla Sarris recipes,american,paleo,250.91,134.81,185.31,2022-10-16,17:24:26,571.03
Marla Sarris recipes,italian,paleo,97.03,203.4,62.14,2022-10-16,17:24:06,362.57
Marshmallow Cream,american,vegan,71.91,730.58,0.09,2022-10-16,20:11:11,802.58
Martha's Sandwich with Bitter Greens recipes,american,dash,51.45,99.25,42.49,2022-10-16,20:33:38,193.19
Martini Recipe,world,dash,0.02,0.77,0.0,2022-10-16,20:30:43,0.79
Maryland Style Mac 'n' Cheese recipes,american,dash,362.96,580.46,428.77,2022-10-16,20:32:24,1372.19
"Masala Soda (Lime, Whiskey, Blackcurrant, Etc.)",world,dash,0.17,45.13,0.17,2022-10-16,20:31:51,45.47
Mascarpone Cream Mousse Dessert (Keto),american,keto,20.87,62.84,152.53,2022-10-16,18:03:18,236.24
Mascarpone Mousse,american,keto,18.61,20.85,166.17,2022-10-16,18:09:18,205.63
Mashed Potatoes and Parsnips,american,dash,28.46,227.57,44.81,2022-10-16,20:33:38,300.84
Mashed Rutabagas recipes,american,dash,10.22,43.35,5.28,2022-10-16,20:31:58,58.85
Mashed potatoes with reconstituted milk,british,dash,44.0,326.99,49.53,2022-10-16,20:31:44,420.52
Massaged Kale Salad Recipe,american,vegan,37.56,101.22,80.74,2022-10-16,20:04:50,219.52
Massaged Kale Salad recipes,mediterranean,vegan,37.56,101.22,88.18,2022-10-16,20:04:30,226.96
Matcha Green Tea Ice Cream Sandwich with Vegan Ginger Molasses Cookies Recipe,american,vegan,92.89,1079.21,330.99,2022-10-16,20:03:37,1503.09
Matcha Mint Chip Ice Cream,american,vegan,15.15,165.73,147.34,2022-10-16,20:12:12,328.22
Maui's Hot Dog Soprano,american,dash,25.56,19.2,67.0,2022-10-16,20:33:44,111.76
"Mayo Free Deviled Eggs (Paleo, Whole30 + Keto)",italian,keto,766.99,41.29,287.59,2022-10-16,18:07:10,1095.87
Mayo-Free Avocado Green Goddess Dressing,caribbean,keto,5.34,22.77,138.31,2022-10-16,18:00:57,166.42
Mayo-Free Mediterranean Tuna Salad Sandwiches Recipe,mediterranean,mediterranean,193.1,128.94,195.48,2022-10-16,16:45:50,517.52
Meal-Prep Vegan Moroccan Lettuce Wraps,american,vegan,181.37,572.53,54.59,2022-10-16,20:07:12,808.49
Meat Lite: Eggplant Lamb Lavash Wraps Recipe,american,mediterranean,119.73,253.72,95.35,2022-10-16,16:48:18,468.8
Meat Lite: Eggs Any Style Shaksouka Recipe,mediterranean,mediterranean,34.97,15.12,39.65,2022-10-16,16:48:11,89.74
Meat Lite: Lentil Sausage Ragout,middle eastern,dash,81.5,181.04,71.26,2022-10-16,20:33:04,333.8
Meat Lite: Portobello Burgers with Crispy Prosciutto and Arugula Mayo Recipe,mediterranean,vegan,85.6,123.67,87.8,2022-10-16,20:12:26,297.07
Meat Lover's Scramble Keto Egg Bake (Low Carb Friendly),american,keto,136.56,16.11,216.83,2022-10-16,18:08:38,369.5
"Meat, Bulgur, and Rice Dolmades",mediterranean,mediterranean,59.78,108.31,72.74,2022-10-16,16:48:04,240.83
Meatball Stroganoff,eastern europe,dash,113.71,186.13,108.46,2022-10-16,20:40:30,408.3
Meatball Zucchini Boats,italian,keto,153.1,74.7,177.63,2022-10-16,17:58:23,405.43
Meatballs Braised with Kale,mediterranean,mediterranean,531.48,279.16,566.41,2022-10-16,16:48:18,1377.05
Meatloaf,american,dash,278.3,196.48,308.54,2022-10-16,20:31:38,783.32
Meatloaf Muffins,american,dash,88.25,29.18,97.16,2022-10-16,20:32:04,214.59
"Mediterranean ""Salad Pasta"" (not to be confused with ""Pasta Salad"")",mediterranean,mediterranean,76.7,349.79,58.29,2022-10-16,16:45:50,484.78
Mediterranean American Loaf,mediterranean,mediterranean,190.26,202.28,98.83,2022-10-16,16:52:06,491.37
Mediterranean Antipasto Salad,mediterranean,mediterranean,64.98,63.17,110.36,2022-10-16,16:48:24,238.51
Mediterranean Appetizer Board,mediterranean,mediterranean,88.77,305.3,112.14,2022-10-16,16:43:20,506.21
Mediterranean Artichoke Dip,mediterranean,mediterranean,199.98,127.87,391.13,2022-10-16,16:44:10,718.98
Mediterranean Asparagus Quiche,french,mediterranean,102.08,279.38,265.32,2022-10-16,16:52:26,646.78
Mediterranean Avocado Dip,mediterranean,mediterranean,40.33,86.13,97.19,2022-10-16,16:51:59,223.65
Mediterranean Avocado Toast,mediterranean,mediterranean,17.06,48.92,39.44,2022-10-16,16:52:12,105.42
Mediterranean BBQ Chicken,mediterranean,mediterranean,148.98,296.25,65.78,2022-10-16,16:50:39,511.01
Mediterranean Bagel Snacks,mediterranean,mediterranean,45.15,114.29,9.79,2022-10-16,16:51:52,169.23
Mediterranean Baked Catfish,american,mediterranean,74.18,23.64,41.91,2022-10-16,16:51:52,139.73
Mediterranean Baked Cod,mediterranean,mediterranean,147.35500000000002,22.115000000000002,37.855000000000004,2022-10-16,16:43:41,207.33
Mediterranean Baked Fish,mediterranean,mediterranean,94.99000000000001,48.01,36.07,2022-10-16,16:52:19,179.07
Mediterranean Baked Halibut,mediterranean,mediterranean,86.03,7.97,41.09,2022-10-16,16:51:26,135.09
Mediterranean Baked Penne,mediterranean,mediterranean,186.1,469.49,137.13,2022-10-16,16:44:16,792.72
Mediterranean Baked Peppers,mediterranean,mediterranean,12.17,32.61,20.58,2022-10-16,16:51:32,65.36
Mediterranean Baked Spinach,mediterranean,mediterranean,68.38,37.24,94.82,2022-10-16,16:50:59,200.44
"Mediterranean Baked Trout with Olives, Fennel & Tomatoes recipes",mediterranean,mediterranean,187.14,42.31,87.94,2022-10-16,16:43:14,317.39
Mediterranean Balsamic Mushrooms,mediterranean,mediterranean,14.45,24.17,55.61,2022-10-16,16:50:52,94.23
Mediterranean Barley Salad,mediterranean,mediterranean,74.7,256.95,142.49,2022-10-16,16:52:12,474.14
Mediterranean Bean Dip,mediterranean,mediterranean,30.22,84.53,55.66,2022-10-16,16:51:46,170.41
Mediterranean Bean Patties,mediterranean,mediterranean,27.53,257.47,9.55,2022-10-16,16:52:46,294.55
Mediterranean Bean Salad,mediterranean,mediterranean,68.512,211.30599999999998,53.272000000000006,2022-10-16,16:44:10,333.09
Mediterranean Bean and Bacon Soup,american,mediterranean,149.69,341.02,131.89,2022-10-16,16:45:17,622.6
"Mediterranean Bean, Potato and Vegetable Salad Platter",mediterranean,mediterranean,42.14,238.2,19.21,2022-10-16,16:45:44,299.55
Mediterranean Beans,mediterranean,mediterranean,21.97,70.41,14.4,2022-10-16,16:49:18,106.78
Mediterranean Beef Pitas,mediterranean,mediterranean,111.97,137.91,140.62,2022-10-16,16:43:47,390.5
Mediterranean Beef Ragout,mediterranean,mediterranean,215.1,87.94,80.07,2022-10-16,16:44:10,383.11
Mediterranean Beef Stew,mediterranean,mediterranean,98.1,168.47,129.44,2022-10-16,16:44:16,396.01
Mediterranean Beef Stew recipes,mediterranean,mediterranean,98.1,168.47,129.44,2022-10-16,16:44:56,396.01
Mediterranean Beef and Bean Stew,mediterranean,mediterranean,230.79,131.98,104.49,2022-10-16,16:45:10,467.26
Mediterranean Bento Box,mediterranean,mediterranean,71.14,325.72,101.73,2022-10-16,16:51:05,498.59
Mediterranean Bento Lunch,mediterranean,mediterranean,39.83,92.83,19.93,2022-10-16,16:43:34,152.59
Mediterranean Bison Sliders,american,mediterranean,304.97,668.16,248.16,2022-10-16,16:44:16,1221.29
Mediterranean Braised Chard recipes,mediterranean,mediterranean,26.24,67.75,62.97,2022-10-16,16:44:50,156.96
Mediterranean Braised Cucumbers,mediterranean,mediterranean,23.12,44.4,65.52,2022-10-16,16:51:39,133.04
Mediterranean Bread Salad,mediterranean,mediterranean,35.72,179.17,101.63,2022-10-16,16:51:32,316.52
Mediterranean Breakfast Sandwich,mediterranean,mediterranean,48.66,136.81,41.74,2022-10-16,16:50:39,227.21
Mediterranean Breakfast Sandwiches,mediterranean,mediterranean,50.25,111.92,52.68,2022-10-16,16:44:10,214.85
Mediterranean Breakfast Wrap,mediterranean,mediterranean,18.12,34.75,12.27,2022-10-16,16:52:32,65.14
Mediterranean Brisket,mediterranean,mediterranean,231.68,49.61,285.05499999999995,2022-10-16,16:43:27,566.34
Mediterranean Broccoflower Salad,mediterranean,mediterranean,17.384999999999998,87.28,32.74,2022-10-16,16:51:59,137.4
Mediterranean Broccoli Pasta Salad,mediterranean,mediterranean,46.8,214.62,146.55,2022-10-16,16:44:36,407.97
Mediterranean Broccoli Salad,mediterranean,mediterranean,68.9,159.98,78.87,2022-10-16,16:51:05,307.75
Mediterranean Brown Rice Salad Recipe,mediterranean,mediterranean,46.41,195.73,129.11,2022-10-16,16:45:24,371.25
Mediterranean Brown Rice Salad recipes,mediterranean,mediterranean,46.05,193.53,129.0,2022-10-16,16:45:24,368.58
Mediterranean Bruschetta,italian,mediterranean,129.3,160.68,124.17,2022-10-16,16:49:25,414.15
Mediterranean Bruschetta,mediterranean,mediterranean,87.64999999999999,250.46,115.14666666666666,2022-10-16,16:43:27,453.26
Mediterranean Bulgar Salad,mediterranean,mediterranean,87.67,300.32,166.03,2022-10-16,16:44:30,554.02
